category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee,first_cleaned_welfare,first_cleaned_works,scaler_money
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/104029,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F26941%2Fr6hu9lvguggkq2mi__1080_790.jpg&w=1000&q=75,스마트팩토리 AI 솔루션 기술지원 및 시스템 관리 엔지니어,아하랩스,• 제조 현장 내 데이터 수집 / 분석 또는 AI 솔루션의 고객 및 현장 대응을 담당할 엔지니어 채용,"• 제조 현장 시스템 운영 및 대응 경험자 및 관심이 있는 분
• PLC, PC, 장치 등이 네트워크로 연동되는 설비에 대한 이해 및 경험이 있거나 관심이 있는 분
• Windows PC 및 네트워크 설정 및 운영에 이해도가 높은 분","• 제조 현장 시스템 운영 및 대응 업무 경험자
• 현장 대응 및 기술 미팅 업무 가능자","• 점심, 간식 제공!
• 자기계발비 지원 (월 10만원)
• 탄력 근무제 시행중 (8~11시 출근, 5~8시 퇴근)
• 32시간 근무제 임시 시행중 (월요일 오후 출근, 금요일 오후 퇴근)
• 매달 임직원 소셜이벤트 및 이벤트 비용 지원","Python
DevOps
Docker
Windows 서비스",경기도 성남시 분당구 성남대로 43번길 10 (하나EZ타워) 712호,4734,19,점심 간식 자기계발 탄력 무제 시행 무제 임시 시행 월요일 오후 금요일 오후 매달 소셜 이벤트 이벤트 비용,AI 제조 현장 데이터 수집 분석 솔루션 현장 대응 엔지니어,0.5175467366349623
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/102774,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25705%2Ftov7z4jfb61eotak__1080_790.jpg&w=1000&q=75,솔루션 PM,이씨에스텔레콤,"• 솔루션 구축 프로젝트 PM/PL
 (고객사 대응, 프로젝트 진행/인력/일정 관리)
• 웹 서비스 UX/UI 기획","• 프로젝트 리딩 경력이 있으신 분
• 개발프로젝트 경험 필수
• 화면설계서(스토리보드) 작성이 가능한 분
• 주요 보고서 및 문서 작성이 가능한 분","• 제안업무 유 경험자
• IT 트렌드에 대한 높은 관심과 이해가 우수한 분","• 건강검진 지원
• 단체보험 지원
• 콘도 지원
• 동호회 운영
• 경조사비
• 우수사원 포상제도
• 대출제도
• 주차지원
• 헬스장 이용지원
• 상조서비스 지원
• 사내도서관 운영
• 사우회 운영
• 임신출산육아기 지원
• 청년내일채움공제 운영
• 청년재직자내일채움공제 운영
• 심리상담프로그램 운영
• 사내 스낵바 운영
• 상여 지급
• 명절 선물 지급
• 웰컴키트 지급",없음,"서울시 서초구 반포대로28길 8 (서초동,일홍빌딩)",7947,178,건강검진 보험 콘도 동호회 사비 우수 사원 포상 대출 주차 헬스장 이용 상조 도서관 우회 임신 출산 아기 청년 내일 채우다 공제 청년 재직 내일 채우다 공제 심리상담 스낵바 상여 명절 선물 웰컴 키트,PM PL UX UI 솔루션 구축 프로젝트 대응 프로젝트 인력 일정 기획,0.8688094457199081
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/113589,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F14394%2F0wgzxneu778k1xsf__1080_790.jpg&w=1000&q=75,[글로벌디지털마케팅] 마젠토 개발자,콘센트릭스서비스코리아,"• 마젠토(Magento) 기반 이커머스 구축 및 운영
• 이커머스 개발","• 마젠토(Magento) 기반 이커머스 구축 운영 경험자 
• 이커머스 개발 경험자",• 영어 가능자 선호,"콘센트릭스는 아래와 같은 혜택을 구성원들과 함께 나눈답니다 !

• 영어교육비 매월 10만원 지원
• 종합/일반 건강검진 지원
• 독감예방접종
• 명절선물지급
• 경조금, 경조휴가 지원
• 연장근무 저녁식대 지원
• 연장근무 택시비 지원
• 우수사원 및 장기근속자 포상
• 단체상해보험가입
• 주택대출이자지원
• 인센티브 지급
• 사내추천시 보너스 지급","SQL
Tableau
MS 오피스
Office 365","서울특별시 강남구 테헤란로 509, 엔씨타워 5층",3259,1,콘센트 릭스 혜택 영어 교육비 매월 종합 일반 건강검진 독감 예방접종 명절 선물 조휴 연장 저녁 식대 연장 택시 우수 사원 장기 근속 포상 상해 보험 가입 주택 대출 이자지 추천 보너스,Magento 마젠토 이커머스 구축 이커머스,0.3562916803323493
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/83090,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3430%2F4l6jjlieocixrohk__1080_790.jpg&w=1000&q=75,정책 담당자 (4년이상),스윗코리아,"• 정보보호 관리체계, 정보보호 거버넌스 적법성 검토 및 개선
• 인프라, 정보보안시스템에 대한 컴플라이언스 보안 가이드 제공 및 점검
• 정보보호 인증 취득 및 유지 (ISO 27001 / CSA STAR / HIPPA / GDPR / SOC2","• 4년이상의 정책 파트 정보보안 경력이 있으신 분(필수)
• 정보보호 관리체계 관련 국내 인증을 주도적으로 진행해 본 경험이 있으신 분
• 국내 개인정보보호법에 대한 이해와 전문성 보유하고 계신 분
• 정보보호 활동을 수행하기 위해 관련 팀과 협업을 이끌어내는 원활한 커뮤니케이션 스킬 보유
• Swit 서비스를 좋아하고, 더 나은 협업툴을 만드는 과정에 참여하고 싶으신 분","• 해외 개인정보보호법 (CCPA, GDPR) 등의 해외 법 업무 경험이 있거나 새로운 법에 대한 지식을 함께 습득하며 업무를 진행하실 분
• 문제 및 개선 사항에 대해 보안성과 생산성을 고려한 합리적인 의사 결정을 진행하고, 결정된 사항을 주도적으로 이끌어 나갈 수 있는 분",• ✔[Swit Culture Deck],없음,서울시 강남구 삼성로 570,4761,108,Swit Culture Deck,ISO CSA STAR HIPPA GDPR SOC 정보보호 체계 정보보호 거버넌스 법성 검토 개선 인프라 정보보안 시스템 컴플라이언스 보안 가이드 점검 정보보호 인증 취득 유지,0.5204985241062643
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/94796,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3430%2F4l6jjlieocixrohk__1080_790.jpg&w=1000&q=75,클라우드 엔지니어(Cloud Engineer),스윗코리아,"• GCP Infrastureture 개발, 운영  
• 시스템 프로덕션 레벨링 
• 클라우드 자동화 및 고도화 
• 지속적 전달과 통합 워크플로우를 통한 대규모 클라우드 시스템 운영
• 지속적인 운영 관리, 유지 관리 및 문제 해결","• 클라우드 공급자별 기능과 방식에 대한 기반 지식이 있으신 분
• 스크립트 언어 활용 능력 보유한 분 
• 네트워크에 대한 전반적인 지식을 보유하신 분
• 소프트웨어 개발 라이프사이클에 대한 지식을 보유하신 분
• 나이/성별/학력/전공 무관","• GCP 환경 서비스 구축, 운영 경험 
• 다양한 OS 기반 서비스 구축, 운영 경험
• 대규모 클라우드 시스템 자동화 경력
• 다양한 비지니스 환경에서의 시스템 개발 운영 경력 
• 네트워크 관리(IPS, IDS, WAF, L2, L3, L4, L7 스위치) 경험
• 시스템 아키텍처 구성 및 마이그레이션 수행 능력 보유
• 고가용성, 확장성을 다룬 설계, 구축, 운영 경험
• MSA 아키텍쳐 운영 경력
• 다양한 OSS 구축, 경험 
• 가상화에 대한 이해 및 경험 
• 직장 내 동료간 원활한 커뮤니케이션이 가능하신 분",• ✔[Swit Culture Deck],없음,서울시 강남구 삼성로 570,4761,108,Swit Culture Deck,GCP 시스템 프로덕션 레벨 클라우드 자동화 고도화 지속 전달 통합 워크플로우 대규모 클라우드 시스템 지속 유지 문제 해결,0.5204985241062643
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/92916,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F984%2F16788_2_3.afbae113__1080_790.jpg&w=1000&q=75,DevOps 엔지니어,로그프레소,"• 사내에서 사용하는 클라우드 자원(AWS, Azure, GCP, 네이버 클라우드 등) 관리 
• 협업하는 벤더와의 기술적 이슈(데이터 연동, 장비 대여 등) 관리
• 사내 구성원이 사용하는 하드웨어 및 소프트웨어 관리
• 사내 네트워크 구성 (방화벽, VPN, 스위치, 서버 등) 관리
• PoC, BMT 등을 위해 외부에서 대여하는 장비 (서버, 네트워크 스위치, 방화벽, 네트워크 포렌식 등) 관리 업무
• 네트워크, 서버 등을 구매하기 위해 하드웨어 벤더와 커뮤니케이션","• 클라우드 인프라(AWS, GCP, Azure, 네이버 클라우드 등) 사용 경험이 있으신 분
• 네트워크, 서버 관리 경험이 있으신 분
• 유연한 커뮤니케이션 능력을 가지신 분","• CCNA, CISA 등 업무 관련 자격증 소지자
• 컴퓨터 공학에 준하는 기술 또는 경험이 있으신 분","• 자율 재택근무 : 재택근무를 적극 권장하고 있으며, 재택 업무에 필요한 모니터 등 장비를 지원합니다.

• 백신휴가 : 코로나19 백신 접종을 위한 백신휴가를 지급하며, 개인별 이상 반응에 따라 자유로이 사용가능합니다! 

• 역세권 초 근접 사무실 : 환승이 자유로운 공덕역 2분거리에 위치하고 있어 사무실 업무가 필수인 분들에게도 출퇴근이 편리합니다.

• 유연근무제 : 팀별로 Core-time (11시-4시) 을 제외한 자유로운 출퇴근 시간을 정할 수 있습니다. 

• 임직원 종합건강검진 : 매 2년마다 50만원 상당의 종합 건강검진 프로그램을 제공합니다.

• 리프레시 휴가 : 입사 후 근속 만 4년부터, 3년 단위로 10일의 리프레시 유급 휴가를 제공합니다.

• 개인의 성장을 위한 외부교육 적극 지원 : 별도 승인 없이 연간 60만원까지 교육비 지원하며, 그 이상은 협의하여 지원합니다.

• 경조금/경조휴가 지원 : 친가/외가 동일한 경조 휴가 및 경조금 제도를 운영합니다.

• 업무용 최신 device 지원 : 맥북/Gram 17 29인치 모니터 등 업무 최적의 환경을 제공합니다. 

• Family Day : 매월 마지막 금요일은 Family Day 로 조기퇴근을 시행합니다. 가족분들과 즐거운 시간 보내세요!","Java
Python
SQL",서울 마포구 새창로 7 SNU장학빌딩 16층,5312,46,Core time device Gram Family Day Family Day 자율 재택근무 재택근무 권장 재택 모니터 장비 백신 휴가 코로나 백신 접종 휴가 개인 반응 자유로이 역다 근접 환승 자유롭다 공덕역 거리 필수 편리하다 유연근무제 별로 제외 자유롭다 종합 건강검진 상당 종합 건강검진 리프 레시 휴가 근속 단위 리프 레시 유급 휴가 개인 성장 외부 교육 별도 승인 연간 교육비 이상은 조휴 친가 외가 동일하다 경조 휴가 최신 맥북 인치 모니터 최적 매월 마지막 금요일 시행 가족 즐겁다 보내다,AWS Azure GCP VPN PoC BMT 클라우드 자원 네이버 클라우드 협업 베다 이슈 데이터 연동 장비 대여 하드웨어 소프트웨어 네트워크 구성 방화벽 스위치 서버 외부 대여 장비 서버 네트워크 스위치 방화벽 네트워크 포렌식 네트워크 서버 구매 하드웨어 베다 커뮤니케이션,0.5807368536132065
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/107556,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10866%2Fagzjctlvttdssf8h__1080_790.jpg&w=1000&q=75,Technical Architect(TA),중앙일보,"• 중앙일보 서비스 운용 시스템 설계 및 관리
• 클라우드 시스템 설계 및 관리","• Wildfly, NginX, JAVA, React 기반 시스템 설계 및 관리 경험 보유
• MSSQL, Elastic Search 등 서버 관리 경험 보유
• Jenkins, Bamboo, Docker 기반 시스템 설계 및 운영 경험 보유","• Google Cloud Platform 기반 시스템 설계 및 운용 경험
• Javascript, Node.js, Python, .NET 등 개발 경험
• 개발 / 시스템 / 보안 등 다양한 직군과 같이 문제를 정의하고 해결책을 찾아나갈 수 있는 협업 능력","• 의료비 보장보험 및 종합검진비용 지원
• 그룹사(중앙일보/JTBC/메가박스/휘닉스호텔앤드리조트) 사용 가능 포인트 제공
• 메가박스/휘닉스호텔앤드리조트 이용 시 임직원가 할인
• 경조사 지원
• 회사 제휴 휴양/레저시설 이용
• 주택자금 및 생활자금 대출
• 장기근속휴가 등","MongoDB
Python
R
SQL
Google Analytics",서울특별시 마포구 상암산로 48-6 중앙일보 빌딩,7749,721,JTBC 의료 보험 종합 검진 비용 중앙 일보 메가박스 휘닉스 호텔 앤드 리조트 포인트 메가박스 휘닉스 호텔 앤드 리조트 이용 할인 경조사 제휴 휴양 레저 시설 이용 주택 자금 생활 자금 대출 장기 휴가,중앙 일보 시스템 설계 클라우드 시스템 설계,0.847163004263693
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/74170,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F24000%2Fyrxpdb2wtjbpswtc__1080_790.jpg&w=1000&q=75,Security Engineer (네트워크보안 기술 담당),토스뱅크,"• 토스뱅크의 고객을 보호하기 위한 정보보안 솔루션을 운영하는 활동을 해요.
• 네트워크 보안 운용 (FW, DDoS, IPS, IDS, TMS, WAF, WIPS, VPN 등) 활동을 수행해요.
• 접근통제 운용 (ACL, Access Matrix, 망연계 등) 활동을 수행해요.","• 다양한 정보보안 솔루션에 대한 운영 경험이 필요합니다.
• 정보보안 기술과 정보보안 솔루션 정책에 대한 이해가 깊으신 분을 찾습니다.
• 네트워크 기술과 시스템 구성에 대한 이해가 깊으신 분을 찾습니다.
• 기술적 취약점 진단 절차를 이해하고 이를 바탕으로 적절한 이행조치 시행이 가능해야 합니다.","[이력서는 이렇게 작성하시는 걸 추천해요]

• 네트워크 보안 솔루션에 대한 구축 및 운영한 경험에 대해 자세히 기술해주세요.
• 네트워크 보안 솔루션을 운영하며 트러블슈팅한 경험이 있다면 기술해주세요.
• 네트워크 보안 아키텍쳐를 설계한 경험이 있다면 기술해주세요.
• 네트워크 패킷을 분석하여 패턴 및 시그니처 기반 침입을 차단한 경험이 있다면 기술해주세요.
• 모의 훈련에 대한 경험이 있다면 기술해주세요.","• 자율과 책임의 문화: 토스뱅크는 Manager가 아닌 Maker들로 구성된 조직으로, 투명한 정보 공유와 수평적인 문화 속에서 구성원 업무에 대한 위임과 신뢰를 바탕으로 세상을 변화 시켜 나가고자 해요.
• 효율적인 업무방식: 토스뱅크는 가장 중요하고, 큰 영향을 미칠 수 있는 일에 집중해요. 획일적인 업무 프로세스보다는 데이터 기반의 사고로 적극적으로 토론하며, 가장 효율적인 문제 해결을 위해 협업하고 실행해요.
• 훌륭한 팀과 동료: 토스뱅크는 각 분야 최고 수준의 역량을 갖춘 인재들이 자율과 책임의 원칙 아래 뛰어난 역량을 발휘하고 있어요.

1. 자율과 효율의 근무 환경을 제공해요.
• 자율 출퇴근 제도
• 무제한 휴가 / 재택근무
• 근속 3년마다 리프레시 유급 휴가 1개월
• Early Friday & 겨울방학 진행

2. 업무와 성장에 몰두할 수 있게끔 지원해요.
• 비포괄임금제 운영
• 주택자금 이자 지원
• 업무 관련 비용 100% 지원
• 최고급 장비 및 소프트웨어 제공
• 반기별 성과급 지급
• 매월 통신비 및 체력단련비 지원
• 명절 상여금 및 생일축하비
• 직장단체보험비(가족 포함) 및 경조사비
• 인재추천비 500만원
• 야간 및 코로나 사회적 거리두기 단계에 따른 택시비 지원

3. 먹고 마시는 것까지 회사가 책임져요.
• 법인카드 전원 지급 (점심, 저녁 식사비 100% 지원)
• 사내카페 내 음료 및 디저트 무료
• 사내 편의점 운영 및 신청하는 모든 간식 구비
• 사내 헤어살롱 무료 이용
• 건물주차장 주차비 전액지원","정보 보안
네트워크 보안
VPN
IDS
IPS
보안 운영",서울특별시 강남구 테헤란로 131,6032,294,Manager Maker Early Friday 자율 책임 토스 뱅크 들다 구성 투명하다 정보 공유 수평 위임 신뢰 바탕 세상 변화 나가다 효율 방식 토스 뱅크 중요하다 크다 영향 집중 획일 프로세스 데이터 사고 토론 효율 문제 해결 협업 실행 훌륭하다 토스 뱅크 분야 최고 수준 역량 갖추다 자율 책임 원칙 뛰어나다 역량 발휘 자율 효율 자율 무제한 휴가 재택근무 근속 리프 레시 유급 휴가 겨울방학 성장 몰두하다 포괄 임금 주택 자금 이자 비용 최고급 장비 소프트웨어 기별 성과급 매월 통신비 체력 달다 명절 상여금 생일 축하 직장 보험 가족 사비 추천 야간 코로나 사회 거리 두기 단계 택시 먹다 마시다 책임지다 카드 점심 저녁 식사 카페 음료 디저트 무료 편의점 신청 간식 구비 헤어 살롱 무료 이용 건물 주차장 차비 전액,FW DDoS IPS IDS TMS WAF WIPS VPN ACL Access Matrix 토스 뱅크 보호 정보보안 솔루션 네트워크 보안 접근 통제 망연,0.6594511861812616
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/119400,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F25926%2Fh28944vasn0igqgo__1080_790.jpg&w=1000&q=75,Network Security Engineer,토스페이먼츠,"• Network Security Engineer는 방화벽, VPN 등 네트워크 영역의 보안 장비를 담당해요.
• 네트워크 보안 장비를 구축, 운영하며 데이터 센터 내의 보안 기반 기술을 제공해요.
• 퍼블릭 클라우드 환경에서 매니지드 서비스 형태의 보안 장비도 운영해요.","• Java 기술 생태계(Kotlin/Spring/JPA)에 대한 이해도와 엔지니어링 역량(OOP/TDD/Refactoring/Pair Programming)을 보유하신 분을 찾습니다.
• 주어진 비즈니스에 대한 이해가 빠르고, 이에 필요한 시스템의 설계가 가능하신 분을 찾습니다.
• 다른 분야의 전문가들에게 친절하고 명쾌하게 설명할 수 있는 커뮤니케이션 역량을 갖춘 분을 찾습니다.
• 동료에게 필요한 지식을 전파하고 협업을 즐기는 분을 찾습니다.
• 변화를 두려워하지 않고 새로운 기술을 학습하며 꾸준히 성장할 수 있는 분을 찾습니다.
• 레거시를 재설계하는 것에 거부감이 없으며, 오히려 즐기는 마인드를 보유하신 분을 찾습니다.","• 데이터 센터 보안 네트워크 아키텍처를 설계하고 구축했던 경험이 필요해요.
• 5년 이상의 네트워크 보안 장비 구축 및 운영 경험이 필요해요.
• TCP/IP 프로토콜 이해도가 높고 트러블슈팅을 위한 패킷 분석 경험이 필요해요.
• 방화벽 정책 분석, 최적화 및 유지 관리 또는 자동화 구축 및 업무 수행 경험이 있으면 좋아요.
• 보안시스템의 API 연동이나, Script 작성을 통해 업무를 자동화한 경험이 있으면 좋아요.
• AWS 등 퍼블릭 클라우드 환경의 이해도가 높으신 분이면 더욱 좋아요.
• 긍정적이고 적극적인 마인드로 문제를 해결한 경험이 있으면 더욱 좋아요.","• 자율과 책임의 문화: 토스페이먼츠는 Manager가 아닌 Maker들로 구성된 조직으로, 투명한 정보 공유와 수평적인 문화 속에서 구성원 업무에 대한 위임과 신뢰를 바탕으로 세상을 변화 시켜 나가고자 해요.
• 효율적인 업무방식: 토스페이먼츠는 가장 중요하고, 큰 영향을 미칠 수 있는 일에 집중해요. 획일적인 업무 프로세스보다는 데이터 기반의 사고로 적극적으로 토론하며, 가장 효율적인 문제 해결을 위해 협업하고 실행해요.
• 훌륭한 팀과 동료: 토스페이먼츠는 각 분야 최고 수준의 역량을 갖춘 인재들이 자율과 책임의 원칙 아래 뛰어난 역량을 발휘하고 있어요.

1. 자율과 효율의 근무 환경을 제공해요.
• 자율 출퇴근 제도
• 무제한 휴가 / 재택근무
• 근속 3년마다 리프레시 유급 휴가 1개월
• Early Friday & 겨울방학 진행

2. 업무와 성장에 몰두할 수 있게끔 지원해요.
• 비포괄임금제 운영
• 주택자금 무이자 1억 대출
• 업무 관련 비용 100% 지원
• 최고급 장비 및 소프트웨어 제공
• 반기별 성과급 지급
• 매월 통신비 및 체력단련비 지원
• 명절 상여금 및 생일축하비
• 직장단체보험비(가족 포함) 및 경조사비
• 인재추천비 500만원
• 야간 및 코로나 사회적 거리두기 단계에 따른 택시비 지원

3. 먹고 마시는 것까지 회사가 책임져요.
• 법인카드 전원 지급 (점심, 저녁 식사비 100% 지원)
• 사내카페 내 음료 및 디저트 무료
• 사내 편의점 운영 및 신청하는 모든 간식 구비
• 사내 헤어살롱 무료 이용
• 건물주차장 주차비 전액지원","인프라
방화벽
네트워크 보안
네트워크 운영",서울특별시 강남구 테헤란로 131 한국지식재산센터 14-15층 토스페이먼츠(주),5719,214,Manager Maker Early Friday 자율 책임 토스 페이 멀다 들다 구성 투명하다 정보 공유 수평 위임 신뢰 바탕 세상 변화 나가다 효율 방식 토스 페이 멀다 중요하다 크다 영향 집중 획일 프로세스 데이터 사고 토론 효율 문제 해결 협업 실행 훌륭하다 토스 페이 멀다 분야 최고 수준 역량 갖추다 자율 책임 원칙 뛰어나다 역량 발휘 자율 효율 자율 무제한 휴가 재택근무 근속 리프 레시 유급 휴가 겨울방학 성장 몰두하다 포괄 임금 주택 자금 이자 대출 비용 최고급 장비 소프트웨어 기별 성과급 매월 통신비 체력 달다 명절 상여금 생일 축하 직장 보험 가족 사비 추천 야간 코로나 사회 거리 두기 단계 택시 먹다 마시다 책임지다 카드 점심 저녁 식사 카페 음료 디저트 무료 편의점 신청 간식 구비 헤어 살롱 무료 이용 건물 주차장 차비 전액,Network Security Engineer VPN 늘다 방화벽 네트워크 영역 보안 장비 네트워크 보안 장비 구축 데이터 센터 내의 보안 퍼블릭 클라우드 매니 지드 형태 보안 장비,0.6252323166065377
"시스템,네트워크 관리자",https://www.wanted.co.kr/wd/99496,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F29690%2Fctmx4kijqkt5mfks__1080_790.png&w=1000&q=75,System Engineer,토스증권,"• 토스증권의 서버, OS, SAN, Storage, Back up 등을 담당하며, 대고객서비스 시스템 전반에 대한 인프라 구축 및 지원 업무를 하고 있어요. 24시간, 365일 무중단 서비스를 위해 노력하고 있어요.
• 신규 서비스가 출시될 때 필요한 서버 장비를 할당하고, 장비들과 결합하여 서비스도 함께 연계시키는 일을 수행하고 있어요.
• 시스템을 모니터링하고 장애에 대한 트러블 슈팅을 담당해요.
• IDC와 퍼블릭 클라우드 인프라를 운영 및 관리해요.","• 퍼블릭 클라우드(AWS) 아키텍처 설계 및 운영 경험이 있는 분이 필요해요.
• On-Premise 환경을 구축하고 관리해본 경험이 필요해요.
• 리눅스 환경에서 오픈소스 솔루션을 구축하고 운영해본 분이 필요해요.
• 개발자와 협업이 많기 때문에 스크립트 언어(Shell, Python, Perl, Ruby 등)를 사용하여 인프라를 운영하실 수 있는 분이 필요해요.
• 대용량 TPS 운영 경험이 필요해요.","• 금융권에서 인프라를 구축하고 운영해본 경험이 있다면 좋아요.
• 시스템 자동화 배포 솔루션 구축 및 운영 경험이 있다면 좋아요.


[이력서는 이렇게 작성하시는 걸 추천해요]
• 경력기술서에는 기술적인 문제 개선 (최적화, 오류 수정 등) 사례 중 가장 기억에 남는 것을 기술해 주세요.
• 본인이 기여한 프로젝트를 사례 중심으로 상세히 기술해 주세요. (프로젝트 기간, 수행한 역할, 사용했던 기술 스택, 프로젝트 전후 개선된 점 등)
• 다루셨던 OS와 주요 솔루션의 버전을 상세히 기술해주세요.


[토스증권으로의 합류여정]
• 서류접수 ＞ 직무인터뷰 ＞ 문화적합성 인터뷰 ＞ 최종합격","• 자율과 책임의 문화: 토스증권은 Manager가 아닌 Maker 들로 구성된 조직으로, 투명한 정보 공유와 수평적인 문화 속에서 구성원 업무에 대한 위임과 신뢰를 바탕으로 세상을 변화 시켜 나가고자 해요.
• 효율적인 업무방식: 토스증권은 가장 중요하고, 큰 영향을 미칠 수 있는 일에 집중해요. 획일적인 업무 프로세스보다는 데이터 기반의 사고로 적극적으로 토론하며, 가장 효율적인 문제 해결을 위해 협업하고 실행해요.
• 훌륭한 팀과 동료: 토스증권은 각 분야 최고 수준의 역량을 갖춘 인재들이 자율과 책임의 원칙 아래 뛰어난 역량을 발휘하고 있어요.

1. 자율과 효율의 근무 환경을 제공해요.
• 자율 출퇴근 제도
• 무제한 휴가 / 재택근무
• 근속 3년마다 리프레시 유급 휴가 1개월
• Early Friday & 겨울방학 진행

2. 업무와 성장에 몰두할 수 있게끔 지원해요.
• 비포괄임금제 운영
• 주택자금 무이자 1억 대출
• 업무 관련 비용 100% 지원
• 최고급 장비 및 소프트웨어 제공
• 반기별 성과급 지급
• 매월 통신비 및 체력단련비 지원
• 명절 상여금 및 생일축하비
• 직장단체보험비(가족 포함) 및 경조사비
• 인재추천비 500만원
• 야간 및 코로나 사회적 거리두기 단계에 따른 택시비 지원

3. 먹고 마시는 것까지 회사가 책임져요.
• 법인카드 전원 지급 (점심, 저녁 식사비 100% 지원)
• 사내카페 내 음료 및 디저트 무료
• 사내 편의점 운영 및 신청하는 모든 간식 구비
• 사내 헤어살롱 무료 이용
• 건물주차장 주차비 전액지원","Git
Python
Jenkins",서울특별시 강남구 테헤란로 133 토스증권 5층,6032,175,Manager Maker Early Friday 자율 책임 토스 증권 들다 구성 투명하다 정보 공유 수평 위임 신뢰 바탕 세상 변화 나가다 효율 방식 토스 증권 중요하다 크다 영향 집중 획일 프로세스 데이터 사고 토론 효율 문제 해결 협업 실행 훌륭하다 토스 증권 분야 최고 수준 역량 갖추다 자율 책임 원칙 뛰어나다 역량 발휘 자율 효율 자율 무제한 휴가 재택근무 근속 리프 레시 유급 휴가 겨울방학 성장 몰두하다 포괄 임금 주택 자금 이자 대출 비용 최고급 장비 소프트웨어 기별 성과급 매월 통신비 체력 달다 명절 상여금 생일 축하 직장 보험 가족 사비 추천 야간 코로나 사회 거리 두기 단계 택시 먹다 마시다 책임지다 카드 점심 저녁 식사 카페 음료 디저트 무료 편의점 신청 간식 구비 헤어 살롱 무료 이용 건물 주차장 차비 전액,OS SAN Storage Back up IDC 토스 증권 서버 시스템 전반 인프라 구축 중단 노력 신규 출시 서버 장비 할당 장비 시스템 모니터링 장애 트러블 슈팅 오다 퍼블릭 클라우드 인프라,0.6594511861812616
